"id_village_grp","c9_member","c10_hh","c15_clasify","final_heterocast:Scheduled Caste/Scheduled Tribe","final_heterocast:Other Backward Class","final_heterocast:Minority","final_heterocast:General","final_heterocast:Dont have a caste group","final_heterocast:Other","final_heterocast:Dont know","final_heterorelig:Hinduism","final_heterorelig:Islam","final_heterorelig:Christianity","final_heterorelig:Buddhism","final_heterorelig:Sikhism","final_heterorelig:Jainism","final_heterorelig:Other","final_heterorelig:Don’t know","a1_5_literate","final_hetero_bisSingle","final_hetero_bisMarried, living with spouse,","final_hetero_bisMarried, not living with spouse","final_hetero_bisSeparated/Divorce,","final_hetero_bisWidow/Widower","final_hetero_bisDon’t know","final_hetero_bisNA","educ_0","educ_1","educ_2","educ_3","educ_4","educ_other","d1_ab3_vacc_num","d1_ab1_tot_inj","d3_ab3_vacc_num","d3_ab1_tot_inj","d5_ab1_poliodrops","d5_ab3_num_drops","d7_ab1_receive_card","more_than_5_vacc","measles_by_age_15_months","measles_ever"
"2_07_01_V01Y_0",0,0.133333333333333,3.0625,0.0625,0.125,0,0.8125,0,0,0,1,0,0,0,0,0,0,0,0.835443037974684,0.0576923076923077,0.528846153846154,0.00961538461538462,0,0.0480769230769231,0,0.355769230769231,0.125,0.0961538461538462,0.125,0.259615384615385,0.153846153846154,0.230769230769231,2.5,3.6875,4.4375,5.25,1,3,1,0.375,0.25,0.375
"2_07_02_V01Y_0",0.294117647058824,0.0588235294117647,3.82352941176471,0.352941176470588,0.294117647058824,0.0588235294117647,0.294117647058824,0,0,0,1,0,0,0,0,0,0,0,0.729411764705882,0.0341880341880342,0.581196581196581,0,0,0.0256410256410256,0,0.358974358974359,0.196581196581197,0.094017094017094,0.094017094017094,0.239316239316239,0.102564102564103,0.273504273504274,2.53846153846154,2.53846153846154,5.4375,10.1875,1,3,0.9375,0.875,0.6,0.875
"2_07_02_V02Y_0",0,0,5.44444444444444,0,0.222222222222222,0,0.777777777777778,0,0,0,1,0,0,0,0,0,0,0,0.8125,0.0333333333333333,0.65,0,0,0.05,0,0.266666666666667,0.15,0.05,0.116666666666667,0.35,0.133333333333333,0.2,2.33333333333333,2.33333333333333,4.22222222222222,4.22222222222222,1,3,1,0.333333333333333,0.125,0.111111111111111
"2_07_03_V01Y_0",0,0.0555555555555556,3.05555555555556,0.111111111111111,0.166666666666667,0,0.722222222222222,0,0,0,1,0,0,0,0,0,0,0,0.80327868852459,0.0232558139534884,0.534883720930233,0,0,0.0930232558139535,0,0.348837209302326,0.13953488372093,0.0348837209302326,0.13953488372093,0.325581395348837,0.0697674418604651,0.290697674418605,2.16666666666667,4.11111111111111,4.72222222222222,8.11111111111111,1,3,0.944444444444444,0.555555555555556,0.166666666666667,0.555555555555556
"2_07_03_V02Y_0",0.0555555555555556,0,3.5,0.111111111111111,0.111111111111111,0,0.666666666666667,0,0,0.111111111111111,1,0,0,0,0,0,0,0,0.852459016393443,0.0340909090909091,0.465909090909091,0,0,0.0568181818181818,0,0.443181818181818,0.102272727272727,0.125,0.170454545454545,0.181818181818182,0.113636363636364,0.306818181818182,2.3125,2.9375,4.29411764705882,6.94117647058824,1,3,1,0.294117647058824,0.117647058823529,0.235294117647059
"2_07_04_V02Y_0",0.315789473684211,0.210526315789474,3.10526315789474,0.526315789473684,0.157894736842105,0,0.263157894736842,0,0,0.0526315789473684,1,0,0,0,0,0,0,0,0.790123456790123,0.0854700854700855,0.52991452991453,0,0,0.0512820512820513,0,0.333333333333333,0.145299145299145,0.0427350427350427,0.179487179487179,0.205128205128205,0.11965811965812,0.299145299145299,2.375,2.875,4.89473684210526,6.26315789473684,1,3,1,0.526315789473684,0.421052631578947,0.526315789473684
"2_07_04_V03Y_0",0,0.176470588235294,3.47058823529412,0.352941176470588,0.294117647058824,0,0.352941176470588,0,0,0,1,0,0,0,0,0,0,0,0.777777777777778,0.0606060606060606,0.525252525252525,0.0101010101010101,0.0101010101010101,0.0303030303030303,0,0.363636363636364,0.161616161616162,0.0606060606060606,0.161616161616162,0.313131313131313,0.0303030303030303,0.272727272727273,2.25,2.3125,4.52941176470588,5.52941176470588,1,3,1,0.470588235294118,0.25,0.470588235294118
"2_08_01_V01Y_0",0,0.0625,4.25,0.5,0.0625,0,0.375,0,0,0.0625,1,0,0,0,0,0,0,0,0.837837837837838,0.0198019801980198,0.544554455445545,0,0.0099009900990099,0.0495049504950495,0,0.376237623762376,0.128712871287129,0.0891089108910891,0.148514851485149,0.277227722772277,0.0891089108910891,0.267326732673267,2.625,6.75,5.4375,9.8125,1,3,1,0.875,0.25,0.75
"2_08_01_V02Y_0",0,0.0588235294117647,3.94117647058824,0.0588235294117647,0.117647058823529,0,0.470588235294118,0,0,0.352941176470588,0.941176470588235,0,0,0,0,0,0,0.0588235294117647,0.87012987012987,0.0588235294117647,0.549019607843137,0,0,0.0490196078431373,0,0.343137254901961,0.0980392156862745,0.0980392156862745,0.0882352941176471,0.284313725490196,0.186274509803922,0.245098039215686,2.13333333333333,2.73333333333333,4.8125,5.76470588235294,1,3,1,0.5625,0.333333333333333,0.375
"2_08_02_V01Y_0",0.210526315789474,0,4.05263157894737,0.105263157894737,0.0526315789473684,0,0.736842105263158,0,0,0.105263157894737,1,0,0,0,0,0,0,0,0.777777777777778,0.0412371134020619,0.587628865979381,0,0.0103092783505155,0.0515463917525773,0,0.309278350515464,0.164948453608247,0.0515463917525773,0.123711340206186,0.309278350515464,0.0927835051546392,0.257731958762887,2.41176470588235,7.05555555555556,5.22222222222222,10.0555555555556,1,3,1,0.5,0.333333333333333,0.4375
