term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,interaction_joint_p,q.value
treat_combined_older,0.566096446629565,0.856519217149923,0.6609267314669917,0.5087523025187788,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11037704976987817,0.2645902964262872,1
older,0.2798487057947982,0.5323771092976515,0.525658787553796,0.599196498244748,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11037704976987817,0.2645902964262872,1
treat_HD,0.08702223012462848,0.09682096503649854,0.8987953186773523,0.3688964265878738,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.11435038833264766,0.8988363640610773,0.825
treat_GD_main,0.28113204650168827,0.09048098742161219,3.107084200923932,0.0019225214187482476,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.11435038833264766,0.8988363640610773,0.017000000000000015
treat_GD_huge,0.3139797248301782,0.11952648927529028,2.6268631056922316,0.008699576459007064,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.11435038833264766,0.8988363640610773,0.052999999999999936
treat_combined,0.20545252968900501,0.11461107032289473,1.7926063259873752,0.07322403746904693,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.11435038833264766,0.8988363640610773,0.30399999999999994
treat_HD_older,-0.011798823227494166,0.12464606054476614,-0.09465861316376434,0.924597800564855,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.11435038833264766,0.8988363640610773,1
treat_GD_main_older,-0.04742667082247065,0.1215337346607161,-0.39023462049340435,0.6964148138424303,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.11435038833264766,0.8988363640610773,1
treat_GD_huge_older,0.039352691176807175,0.1547558397995194,0.2542888929282873,0.7993049334674884,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.11435038833264766,0.8988363640610773,1
treat_combined_older,0.1049861814573439,0.15832003501541264,0.6631263152962502,0.5073448230872204,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.11435038833264766,0.8988363640610773,1
older,0.2208341188648196,0.08948154791767982,2.467929131802458,0.013693282051999845,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.11435038833264766,0.8988363640610773,0.061999999999999944
