outcome,outcome_label,term,estimate,std.error,p.value,q.value,control_mean,n,r2,joint_p
hh_month_consumption_pc,HH consumption per capita,treat_GD_middle,-0.07653158135331413,0.09636849960955261,0.42722190317127395,1,9.46299787065975,1766,0.050789052117727884,0.36925506815917225
hh_month_consumption_pc,HH consumption per capita,treat_GD_upper,-0.10464376103096673,0.09715905236707091,0.28162570182257773,1,9.46299787065975,1766,0.050789052117727884,0.36925506815917225
hh_month_consumption_pc,HH consumption per capita,treat_GD_huge,-0.18623014716686523,0.09071690834654546,0.04024635843219778,1,9.46299787065975,1766,0.050789052117727884,0.36925506815917225
hh_month_consumption_pc,HH consumption per capita,treat_combined,-0.010679762657538294,0.09462116968723223,0.9101487707419322,1,9.46299787065975,1766,0.050789052117727884,0.36925506815917225
bn_consumption,Beneficiary-specific consumption,treat_HD,-0.06948800454668408,0.1461621646667684,0.6345539818702031,1,7.529236086024183,1770,0.027784292866264493,0.9290043674080908
bn_consumption,Beneficiary-specific consumption,treat_GD_lower,0.06723772314566533,0.19104402408429194,0.7249225734134831,1,7.529236086024183,1770,0.027784292866264493,0.9290043674080908
bn_consumption,Beneficiary-specific consumption,treat_GD_middle,-0.030131707691358627,0.20532632393212036,0.8833474110314099,1,7.529236086024183,1770,0.027784292866264493,0.9290043674080908
bn_consumption,Beneficiary-specific consumption,treat_GD_upper,-0.1683960947999713,0.2160603421467352,0.435862028907092,1,7.529236086024183,1770,0.027784292866264493,0.9290043674080908
bn_consumption,Beneficiary-specific consumption,treat_GD_huge,0.11214381464069596,0.18267026322284433,0.5393587369849284,1,7.529236086024183,1770,0.027784292866264493,0.9290043674080908
bn_consumption,Beneficiary-specific consumption,treat_combined,0.0076856951599625425,0.19744403741512498,0.9689542475177427,1,7.529236086024183,1770,0.027784292866264493,0.9290043674080908
hh_net_wealth,HH net non-land wealth,treat_HD,-0.04865200370558869,0.4563449198098602,0.9151098037382699,1,10.52569683289133,1766,0.029935953569536933,0.18623087575015643
hh_net_wealth,HH net non-land wealth,treat_GD_lower,0.35479454911858793,0.5400955478418269,0.5113322193983946,1,10.52569683289133,1766,0.029935953569536933,0.18623087575015643
hh_net_wealth,HH net non-land wealth,treat_GD_middle,0.1545009990361582,0.6250968451111307,0.8048133596436665,1,10.52569683289133,1766,0.029935953569536933,0.18623087575015643
hh_net_wealth,HH net non-land wealth,treat_GD_upper,-0.16976963202622455,0.6981307975297257,0.807898951775954,1,10.52569683289133,1766,0.029935953569536933,0.18623087575015643
hh_net_wealth,HH net non-land wealth,treat_GD_huge,1.1300639872187572,0.4650193377523221,0.015201478836129049,1,10.52569683289133,1766,0.029935953569536933,0.18623087575015643
hh_net_wealth,HH net non-land wealth,treat_combined,-0.21997851452830613,0.5994650701094992,0.7136985561698348,1,10.52569683289133,1766,0.029935953569536933,0.18623087575015643
sav_stock,Savings,treat_HD,-0.26451157792480534,0.2978829992315779,0.3746884532418274,1,8.012406083668346,1770,0.03612230090703994,0.8177482747285592
sav_stock,Savings,treat_GD_lower,-0.48379574380743307,0.40906418270001915,0.23710658241486196,1,8.012406083668346,1770,0.03612230090703994,0.8177482747285592
sav_stock,Savings,treat_GD_middle,-0.3392702322030764,0.43849791553715994,0.43921559857438963,1,8.012406083668346,1770,0.03612230090703994,0.8177482747285592
sav_stock,Savings,treat_GD_upper,0.033158766858551264,0.3936605957767664,0.9328825281596698,1,8.012406083668346,1770,0.03612230090703994,0.8177482747285592
sav_stock,Savings,treat_GD_huge,-0.08959177352851827,0.39484434000800445,0.820527099959378,1,8.012406083668346,1770,0.03612230090703994,0.8177482747285592
sav_stock,Savings,treat_combined,0.12895072410606906,0.3783468839120149,0.7332783990233331,1,8.012406083668346,1770,0.03612230090703994,0.8177482747285592
debt_stock,Debt,treat_HD,0.11702271902305555,0.32189116865643647,0.716243572695477,1,7.842784608810783,1770,0.020343266024347217,0.46619823733428345
debt_stock,Debt,treat_GD_lower,-0.14250437852999404,0.4538528766909615,0.7535706939011835,1,7.842784608810783,1770,0.020343266024347217,0.46619823733428345
debt_stock,Debt,treat_GD_middle,-0.29859239007520066,0.46117429420502615,0.5174256774152204,1,7.842784608810783,1770,0.020343266024347217,0.46619823733428345
debt_stock,Debt,treat_GD_upper,0.03244461762516848,0.442207248316412,0.9415210116514038,1,7.842784608810783,1770,0.020343266024347217,0.46619823733428345
debt_stock,Debt,treat_GD_huge,0.14764135701407416,0.4504756811041055,0.74314663909379,1,7.842784608810783,1770,0.020343266024347217,0.46619823733428345
debt_stock,Debt,treat_combined,0.7514348062738118,0.3963217281773989,0.05813556545419178,1,7.842784608810783,1770,0.020343266024347217,0.46619823733428345
hh_livestock_wealth,HH livestock wealth,treat_HD,0.28688524464118786,0.4017306468342464,0.4752544096342093,1,7.320481585450991,1766,0.029740616883278892,0.9315226555206911
hh_livestock_wealth,HH livestock wealth,treat_GD_lower,-0.18464000740954378,0.5655567997245567,0.7441076334836714,1,7.320481585450991,1766,0.029740616883278892,0.9315226555206911
hh_livestock_wealth,HH livestock wealth,treat_GD_middle,0.20263308694501359,0.5802932634891985,0.7269917127776282,1,7.320481585450991,1766,0.029740616883278892,0.9315226555206911
hh_livestock_wealth,HH livestock wealth,treat_GD_upper,0.2404624736075947,0.5456865182002005,0.6595179829740476,1,7.320481585450991,1766,0.029740616883278892,0.9315226555206911
hh_livestock_wealth,HH livestock wealth,treat_GD_huge,-0.2624886167450442,0.5574582026161377,0.6377995729410763,1,7.320481585450991,1766,0.029740616883278892,0.9315226555206911
hh_livestock_wealth,HH livestock wealth,treat_combined,-0.16949350062089996,0.518039847113477,0.7435724939995159,1,7.320481585450991,1766,0.029740616883278892,0.9315226555206911
bn_busiknowledge,Business Knowledge,treat_HD,-0.010971147061614622,0.06743048382464539,0.8707725932771828,1,2.634943273552226e-4,1770,0.027840040016397394,0.5668188436284216
bn_busiknowledge,Business Knowledge,treat_GD_lower,0.10048954398423608,0.0877334021911357,0.25221469606324337,1,2.634943273552226e-4,1770,0.027840040016397394,0.5668188436284216
bn_busiknowledge,Business Knowledge,treat_GD_middle,-0.008669673443606444,0.0947003683050999,0.927068158154906,1,2.634943273552226e-4,1770,0.027840040016397394,0.5668188436284216
bn_busiknowledge,Business Knowledge,treat_GD_upper,-0.08346934910433795,0.09321878949475933,0.37069968042595414,1,2.634943273552226e-4,1770,0.027840040016397394,0.5668188436284216
bn_busiknowledge,Business Knowledge,treat_GD_huge,-0.02664819390884248,0.09037334166761082,0.7681327468854111,1,2.634943273552226e-4,1770,0.027840040016397394,0.5668188436284216
bn_busiknowledge,Business Knowledge,treat_combined,0.09307045536903247,0.08792663456904,0.2899853554709628,1,2.634943273552226e-4,1770,0.027840040016397394,0.5668188436284216
