"id_key_new","cs4"
"5000401868",4
"5000401872",1
"5000401876",4
"5000401877",4
"5000401886",2
"5000402044",1
"5000402053",1
"5000402068",1
"5000402070",4
"500040216",4
"5000402229",4
"5000402237",3
"5000402277",4
"500040228",4
"5000402287",1
"500040231",2
"5000402356",4
"5000402369",2
"5000402395",4
"5000402432",1
"500040245",2
"5000402461",4
"5000402471",1
"5000402476",3
"5000402478",1
"5000402525",4
"5000402647",2
"50004027",4
"500040270",2
"50004028",1
"5000402945",2
"5000402949",4
"5000402959",4
"5000402960",1
"5000402962",2
"5000402964",1
"5000402966",3
"5000402968",1
"5000402969",1
"5000402972",4
"5000402976",4
"5000403023",1
"5000403033",1
"5000403078",1
"5000403079",4
"5000403085",1
"50004032",4
"5000403273",4
"5000403278",2
"500040338",2
"5000403412",3
"5000403438",2
"5000403446",1
"5000403449",4
"5000403452",4
"50004035101",4
"5000403532",4
"5000403535",1
"500040356",1
"500040356008",4
"5000403574",1
"5000403599",1
"5000403637",2
"5000403654",4
"5000403670",1
"5000403672",4
"5000403674",1
"5000403679",4
"5000403832",4
"500040386",4
"5000403878",4
"5000403883",1
"500040398",4
"5000404035",4
"5000404141",1
"5000404179",1
"5000404182",4
"5000404183",4
"5000404233",4
"5000404263",1
"5000404268",4
"5000404284",4
"5000404289",1
"5000404291",1
"5000404294",4
"5000404295",4
"5000404297",1
"5000404311",4
"5000404377",4
"5000404387",1
"5000404393",4
"50004044104",1
"5000404445",2
"5000404467",2
"5000404476",1
"5000404483",4
"5000404488",4
"5000404490",4
"5000404491",2
"5000404495",4
"50004046138",2
"50004046139",1
"50004046147",4
"500040467",4
"5000404729",1
"500040474",4
"5000404759",1
"5000404761",3
"5000404776",4
"50004048112",1
"50004048113",1
"50004048114",3
"5000404820",2
"5000404827",1
"5000404864",4
"5000404874",4
"50004048790018",1
"5000404883",4
"5000404884",4
"5000404892",3
"5000404894",4
"50004049102",1
"50004049104",2
"50004049105",3
"50004049106",4
"500040494",4
"5000404970",2
"5000404973",3
"5000404983",3
"5000404985",4
"50004051104",2
"50004051105",2
"50004051106",3
"50004051110",4
"5000405158",4
"5000405180",1
"5000405190",4
"5000405195",2
"5000405211",1
"5000405225",4
"5000405261",4
"500040527",4
"5000405276",1
"5000405278",3
"50004053105",3
"5000405364",4
"5000405373",4
"5000405412",2
"5000405445",4
"5000405449",2
"5000405479",1
"5000405480",1
"5000405497",1
"5000405513",2
"500040552",2
"5000405525",1
"5000405562",4
"5000405565",4
"5000405569",4
"500040558",4
"500040567",2
"5000405716",2
"5000405717",2
"50004057170",4
"5000405776",2
"5000405778",4
"5000405781",4
"5000405785",4
"5000405786",1
"500040581",4
"5000405817",4
"5000406121",1
"5000406122",4
"5000406131",3
"5000406154",1
"5000406160",4
"5000406240",1
"5000406263",1
"5000406275",1
"5000406278",1
"500040629",2
"500040634",3
"5000406360",4
"5000406363",2
"500040642",1
"5000406649",4
"500040665",1
"5000406651",1
"5000406711",4
"5000406737",4
"5000406739",3
"5000406741",4
"5000406753",3
"5000406754",4
"5000406763",4
"5000406765",4
"5000406865",1
"5000406883",4
"5000407240",2
"5000407241",4
"5000407253",1
"500040727",4
"5000407332",4
"500040734",1
"5000407340",4
"5000407364",1
"5000407367",4
"500040737",2
"50004074",1
"5000407432",4
"5000407441",4
"5000407445",4
"5000407454",1
"5000407461",4
"5000407476",4
"5000407477",1
"5000407532",4
"5000407546",2
"5000407564",4
"5000407566",1
"5000407568",4
"5000407569",1
"5000407570",4
"5000407575",1
"5000407578",1
"500040760",3
"500040775",1
"500040776",2
"500040782",1
"500040783",1
"500040784",4
"5000408115",2
"500040819",4
"500040838",2
"5000408440",1
"50004085",2
"500040857",4
"5000408663",2
"500040883",4
"500040888",4
"500040889",1
"500040913",1
"50004092",1
"500040922",4
"5000409330",2
"5000409332",4
"5000409335",4
"5000409337",4
"5000409338",4
"5000409340",1
"5000409341",1
"500040937",1
"500040968",2
"50004098",1
"5000409819",4
"500040982",1
"5000409828",4
"5000409835",1
"500040996",4
"5000409960015",1
"500040997",2
"50005810246",1
"50005810312",4
"50005810323",4
"50005810338",1
"50005810339",1
"50005810417",2
"50005810418",2
"50005810456",3
"50005810620",1
"5000581063",2
"50005810724",4
"50005810727",4
"50005810729",4
"50005810810",1
"50005810813",4
"50005810814",1
"5000581086",2
"50005810920",2
"50005810928",2
"50005810931",4
"50005810932",4
"50005810935",2
"50005810939",1
"50005810941",1
"50005810942",1
"5000581101",4
"50005811010",4
"5000581103",2
"5000581104",2
"5000581106",2
"5000581107",4
"5000581108",4
"50005811080012",4
"5000581109",2
"5000581115",1
"500058113",4
"5000581157",4
"5000581158",1
"50005811602",2
"5000581161",2
"5000581163",1
"5000581179",2
"50005813100",4
"50005813101",1
"5000581385",2
"5000581396",2
"5000581397",4
"500058142",4
"5000581526",1
"5000581533",2
"500058161",2
"5000581616",2
"500058162",4
"5000581623",4
"5000581644",4
"5000581646",2
"5000581653",1
"5000581654",1
"5000581655",4
"5000581711",4
"5000581766",4
"5000581875",3
"5000581876",4
"5000581913",4
"5000581934",1
"5000581962",1
"5000581985",2
"5000581995",2
"5000582053",1
"5000582232",1
"5000582233",1
"5000582248",1
"500058241",4
"5000582412",4
