"created_month","id_village_grp","created_year","inreminders","old_sys_bug","reminder_system_type","elig_meas_rem","trmeasles_rem","trmeasles_sub","injpal_data","id_district","id_phc","id_sc","district","final_phc","has_hra","final_sc","final_village_name","village_population","inctreat","inctreat_arm","trtreat_arm_server_first","trtreat_arm_server_second","commtreat_arm","vil_added_later","vil_phc_surv","baseline","endline","samp_endl","serveronly","missingfromserver","vil_other","missing_commtreat","num_main_ever","BCG_ever","Penta1_ever","Penta2_ever","Penta3_ever","Measles1_ever","fully_immunized","reminder_control_first","reminder_control_second","trfrac33_first","trfrac33_second","trfrac66_first","trfrac66_second","trfrac100_second","communication_control","random","gossip","trusted","trustgossip","seedsrisk","anyseed","incentive_control","highslope","highflat","lowslope","lowflat","flat","slope","nchildren","nchildren_m5","nchildren_9mo","nchildren_9mo_m5","nkidsvillage","nkidsvillage_9mo","nkidsvillage_m5","nkidsvillage_9mo_m5","shot_BCG","shot_Penta1","shot_Measles1","shot_Penta3","shot_Penta2","hist_BCG","hist_NR_BCG","hist_Penta1","hist_NR_Penta1","hist_Penta2","hist_NR_Penta2","hist_Penta3","hist_NR_Penta3","hist_Measles1","hist_NR_Measles1","num_main_any","num_main_shots","num_shots_hist","first_implementation"
8,"1_01_03_V01Y_0",2017,1,0,"Old System",1,1,1,TRUE,"1","1_01","1_01_03","Bhiwani","Achina",1,"Bhagvi","Bhagvi",4260,1,2,2,2,5,0,1,1,1,0,0,0,0,0,49,12,10,8,11,7,7,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,27,27,23,23,98,61,98,61,6,4,7,7,3,6,6,5,5,5,5,4,4,0,0,124,27,20,1
9,"1_01_03_V01Y_0",2017,0,0,"Old System",1,0,1,TRUE,"1","1_01","1_01_03","Bhiwani","Achina",1,"Bhagvi","Bhagvi",4260,1,2,2,2,5,0,1,1,1,0,0,0,0,0,22,4,5,4,5,4,4,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,12,12,11,11,98,61,98,61,0,2,5,3,2,4,4,3,3,2,2,2,2,0,0,67,12,11,1
10,"1_01_03_V01Y_0",2017,1,0,"Old System",1,1,1,TRUE,"1","1_01","1_01_03","Bhiwani","Achina",1,"Bhagvi","Bhagvi",4260,1,2,2,2,5,0,1,1,1,0,0,0,0,0,14,4,3,5,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,10,10,5,5,98,61,98,61,1,2,1,1,4,3,3,1,1,0,0,0,0,0,0,38,9,4,1
11,"1_01_03_V01Y_0",2017,0,0,"Old System",1,0,1,TRUE,"1","1_01","1_01_03","Bhiwani","Achina",1,"Bhagvi","Bhagvi",4260,1,2,2,2,5,0,1,1,1,0,0,0,0,0,14,3,3,2,4,2,2,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,14,14,7,7,98,61,98,61,1,3,2,3,4,4,4,2,2,0,0,0,0,0,0,59,13,6,0
12,"1_01_03_V01Y_0",2017,1,0,"Old System",1,1,1,TRUE,"1","1_01","1_01_03","Bhiwani","Achina",1,"Bhagvi","Bhagvi",4260,1,2,2,2,5,0,1,1,1,0,0,0,0,0,22,9,4,4,2,3,3,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,24,24,11,11,98,61,98,61,6,2,3,2,4,3,3,2,2,0,0,0,0,0,0,87,17,5,0
1,"1_01_03_V01Y_0",2018,1,0,"Old System",1,0,0,TRUE,"1","1_01","1_01_03","Bhiwani","Achina",1,"Bhagvi","Bhagvi",4260,1,2,2,2,5,0,1,1,1,0,0,0,0,0,19,7,4,3,4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,17,17,3,3,98,61,98,61,4,3,1,4,4,3,3,1,1,0,0,0,0,0,0,53,16,4,0
2,"1_01_03_V01Y_0",2018,0,0,"Old System",1,1,0,TRUE,"1","1_01","1_01_03","Bhiwani","Achina",1,"Bhagvi","Bhagvi",4260,1,2,2,2,5,0,1,1,1,0,0,0,0,0,25,6,9,4,2,4,3,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,20,20,6,6,98,61,98,61,3,7,4,2,3,3,3,2,2,1,1,0,0,0,0,71,19,6,0
3,"1_01_03_V01Y_0",2018,1,0,"Old System",1,0,0,TRUE,"1","1_01","1_01_03","Bhiwani","Achina",1,"Bhagvi","Bhagvi",4260,1,2,2,2,5,0,1,1,1,0,0,0,0,0,18,2,6,6,2,2,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,20,20,6,6,98,61,98,61,0,6,1,2,6,2,2,0,0,0,0,0,0,0,0,66,15,2,0
3,"1_01_03_V02Y_0",2017,0,0,"Old System",0,0,0,TRUE,"1","1_01","1_01_03","Bhiwani","Achina",1,"Bhagvi","Sarupgarh",1890,1,2,2,2,5,0,1,1,1,0,0,0,0,0,17,6,6,4,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,6,6,6,6,43,28,43,28,0,3,1,0,2,6,6,3,3,1,1,1,1,0,0,44,6,11,1
4,"1_01_03_V02Y_0",2017,1,0,"Old System",1,0,0,TRUE,"1","1_01","1_01_03","Bhiwani","Achina",1,"Bhagvi","Sarupgarh",1890,1,2,2,2,5,0,1,1,1,0,0,0,0,0,14,4,3,2,3,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,6,6,6,6,43,28,43,28,1,1,1,2,1,3,3,2,2,2,2,1,1,0,0,41,6,8,1
